Region,Province,CityMunicipality,ZipCode
Cordillera Administrative Region (Car),Apayao,Calanasan (Bayag),3814
Cordillera Administrative Region (Car),Apayao,Conner,3807
Cordillera Administrative Region (Car),Apayao,Flora,3810
Cordillera Administrative Region (Car),Apayao,Kabugao (Capital),3809
Cordillera Administrative Region (Car),Apayao,Luna,3813
Cordillera Administrative Region (Car),Apayao,Pudtol,3812
Cordillera Administrative Region (Car),Apayao,Santa Marcela,3811
Region III (Central Luzon),Aurora,Baler (Capital),3200
Region III (Central Luzon),Aurora,Casiguran,3204
Region III (Central Luzon),Aurora,Dilasag,3205
Region III (Central Luzon),Aurora,Dinalungan,3206
Region III (Central Luzon),Aurora,Dingalan,3207
Region III (Central Luzon),Aurora,Dipaculao,3203
Region III (Central Luzon),Aurora,Maria Aurora,3202
Region III (Central Luzon),Aurora,San Luis,3201
Autonomous Region In Muslim Mindanao (Armm),Basilan,City Of Lamitan,7302
Autonomous Region In Muslim Mindanao (Armm),Basilan,Lantawan,7301
Autonomous Region In Muslim Mindanao (Armm),Basilan,Maluso,7303
Autonomous Region In Muslim Mindanao (Armm),Basilan,Sumisip,7305
Autonomous Region In Muslim Mindanao (Armm),Basilan,Tipo-Tipo,7304
Autonomous Region In Muslim Mindanao (Armm),Basilan,Tuburan,7306
Autonomous Region In Muslim Mindanao (Armm),Basilan,Akbar,7307
Autonomous Region In Muslim Mindanao (Armm),Basilan,Al-Barka,7308
Autonomous Region In Muslim Mindanao (Armm),Basilan,Hadji Mohammad Ajul,7309
Autonomous Region In Muslim Mindanao (Armm),Basilan,Ungkaya Pukan,7311
Autonomous Region In Muslim Mindanao (Armm),Basilan,Hadji Muhtamad,7310
Autonomous Region In Muslim Mindanao (Armm),Basilan,Tabuan-Lasa,7312
Region III (Central Luzon),Bataan,Abucay,2114
Region III (Central Luzon),Bataan,Bagac,2107
Region III (Central Luzon),Bataan,City Of Balanga (Capital),2100
Region III (Central Luzon),Bataan,Dinalupihan,2110
Region III (Central Luzon),Bataan,Hermosa,2111
Region III (Central Luzon),Bataan,Limay,2103
Region III (Central Luzon),Bataan,Mariveles,2105
Region III (Central Luzon),Bataan,Morong,2108
Region III (Central Luzon),Bataan,Orani,2112
Region III (Central Luzon),Bataan,Orion,2102
Region III (Central Luzon),Bataan,Pilar,2101
Region III (Central Luzon),Bataan,Samal,2113
Region II (Cagayan Valley),Batanes,Basco (Capital),3900
Region II (Cagayan Valley),Batanes,Itbayat,3905
Region II (Cagayan Valley),Batanes,IVana,3902
Region II (Cagayan Valley),Batanes,Mahatao,3901
Region II (Cagayan Valley),Batanes,Sabtang,3904
Region II (Cagayan Valley),Batanes,Uyugan,3903
Region IV-A (CALABARZON),Batangas,Agoncillo,4211
Region IV-A (CALABARZON),Batangas,Alitagtag,4205
Region IV-A (CALABARZON),Batangas,Balayan,4213
Region IV-A (CALABARZON),Batangas,Balete,4219
Region IV-A (CALABARZON),Batangas,Batangas City (Capital),4200
Region IV-A (CALABARZON),Batangas,Bauan,4201
Region IV-A (CALABARZON),Batangas,Calaca,4212
Region IV-A (CALABARZON),Batangas,Calatagan,4215
Region IV-A (CALABARZON),Batangas,Cuenca,4222
Region IV-A (CALABARZON),Batangas,Ibaan,4230
Region IV-A (CALABARZON),Batangas,Laurel,4221
Region IV-A (CALABARZON),Batangas,Lemery,4209
Region IV-A (CALABARZON),Batangas,Lian,4216
Region IV-A (CALABARZON),Batangas,Lipa City,4217
Region IV-A (CALABARZON),Batangas,Lobo,4229
Region IV-A (CALABARZON),Batangas,Mabini,4202
Region IV-A (CALABARZON),Batangas,Malvar,4233
Region IV-A (CALABARZON),Batangas,Nasugbu,4231
Region IV-A (CALABARZON),Batangas,Padre Garcia,4224
Region IV-A (CALABARZON),Batangas,Rosario,4225
Region IV-A (CALABARZON),Batangas,San Jose,4227
Region IV-A (CALABARZON),Batangas,San Juan,4226
Region IV-A (CALABARZON),Batangas,San Luis,4210
Region IV-A (CALABARZON),Batangas,San Nicolas,4207
Region IV-A (CALABARZON),Batangas,San Pascual,4204
Region IV-A (CALABARZON),Batangas,Taal,4208
Region IV-A (CALABARZON),Batangas,Talisay,4220
Region IV-A (CALABARZON),Batangas,City Of Tanauan,4232
Region IV-A (CALABARZON),Batangas,Taysan,4228
Region IV-A (CALABARZON),Batangas,Tingloy,4203
Region IV-A (CALABARZON),Batangas,Tuy,4214
Region IV-A (CALABARZON),Batangas,Mataasnakahoy,4223
Region IV-A (CALABARZON),Batangas,Santa Teresita,4206
Region IV-A (CALABARZON),Batangas,Santo Tomas,4234
Cordillera Administrative Region (Car),Benguet,Atok,2612
Cordillera Administrative Region (Car),Benguet,Baguio City,2600
Cordillera Administrative Region (Car),Benguet,Bakun,2610
Cordillera Administrative Region (Car),Benguet,Bokod,2605
Cordillera Administrative Region (Car),Benguet,Itogon,2604
Cordillera Administrative Region (Car),Benguet,Kabayan,2606
Cordillera Administrative Region (Car),Benguet,Kapangan,2613
Cordillera Administrative Region (Car),Benguet,Kibungan,2611
Cordillera Administrative Region (Car),Benguet,La Trinidad (Capital),2601
Cordillera Administrative Region (Car),Benguet,Mankayan,2608
Cordillera Administrative Region (Car),Benguet,Sablan,2614
Cordillera Administrative Region (Car),Benguet,Tuba,2603
Cordillera Administrative Region (Car),Benguet,Tublay,2615
Cordillera Administrative Region (Car),Benguet,Buguias,2607
Region VIii (Eastern VIsayas),Biliran,Almeria,6544
Region VIii (Eastern VIsayas),Biliran,Biliran,6549
Region VIii (Eastern VIsayas),Biliran,Cabucgayan,6550
Region VIii (Eastern VIsayas),Biliran,Caibiran,6548
Region VIii (Eastern VIsayas),Biliran,Culaba,6547
Region VIii (Eastern VIsayas),Biliran,Kawayan,6545
Region VIii (Eastern VIsayas),Biliran,Maripipi,6546
Region VIii (Eastern VIsayas),Biliran,Naval (Capital),6543
Region VIi (Central VIsayas),Bohol,Alburquerque,6302
Region VIi (Central VIsayas),Bohol,Alicia,6314
Region VIi (Central VIsayas),Bohol,Anda,6311
Region VIi (Central VIsayas),Bohol,Antequera,6335
Region VIi (Central VIsayas),Bohol,Baclayon,6301
Region VIi (Central VIsayas),Bohol,Balilihan,6342
Region VIi (Central VIsayas),Bohol,Batuan,6318
Region VIi (Central VIsayas),Bohol,Bilar,6317
Region VIi (Central VIsayas),Bohol,Buenavista,6333
Region VIi (Central VIsayas),Bohol,Calape,6328
Region VIi (Central VIsayas),Bohol,Candijay,6312
Region VIi (Central VIsayas),Bohol,Carmen,6319
Region VIi (Central VIsayas),Bohol,Catigbian,6343
Region VIi (Central VIsayas),Bohol,Clarin,6330
Region VIi (Central VIsayas),Bohol,Corella,6337
Region VIi (Central VIsayas),Bohol,Cortes,6341
Region VIi (Central VIsayas),Bohol,Dagohoy,6322
Region VIi (Central VIsayas),Bohol,Danao,6344
Region VIi (Central VIsayas),Bohol,Dauis,6339
Region VIi (Central VIsayas),Bohol,Dimiao,6305
Region VIi (Central VIsayas),Bohol,Duero,6309
Region VIi (Central VIsayas),Bohol,Garcia Hernandez,6307
Region VIi (Central VIsayas),Bohol,Guindulman,6310
Region VIi (Central VIsayas),Bohol,Inabanga,6332
Region VIi (Central VIsayas),Bohol,Jagna,6308
Region VIi (Central VIsayas),Bohol,Jetafe,6334
Region VIi (Central VIsayas),Bohol,Lila,6304
Region VIi (Central VIsayas),Bohol,Loay,6303
Region VIi (Central VIsayas),Bohol,Loboc,6316
Region VIi (Central VIsayas),Bohol,Loon,6327
Region VIi (Central VIsayas),Bohol,Mabini,6313
Region VIi (Central VIsayas),Bohol,Maribojoc,6336
Region VIi (Central VIsayas),Bohol,Panglao,6340
Region VIi (Central VIsayas),Bohol,Pilar,6321
Region VIi (Central VIsayas),Bohol,Pres. Carlos P. Garcia (Pitogo),6346
Region VIi (Central VIsayas),Bohol,Sagbayan (Borja),6331
Region VIi (Central VIsayas),Bohol,San Isidro,6345
Region VIi (Central VIsayas),Bohol,San Miguel,6323
Region VIi (Central VIsayas),Bohol,Sevilla,6347
Region VIi (Central VIsayas),Bohol,Sierra Bullones,6320
Region VIi (Central VIsayas),Bohol,Sikatuna,6338
Region VIi (Central VIsayas),Bohol,Tagbilaran City (Capital),6300
Region VIi (Central VIsayas),Bohol,Talibon,6325
Region VIi (Central VIsayas),Bohol,Trinidad,6324
Region VIi (Central VIsayas),Bohol,Tubigon,6329
Region VIi (Central VIsayas),Bohol,Ubay,6315
Region VIi (Central VIsayas),Bohol,Valencia,6306
Region VIi (Central VIsayas),Bohol,Bien Unido,6326
Region X (Northern Mindanao),Bukidnon,Baungon,8707
Region X (Northern Mindanao),Bukidnon,Damulog,8721
Region X (Northern Mindanao),Bukidnon,Dangcagan,8719
Region X (Northern Mindanao),Bukidnon,Don Carlos,8712
Region X (Northern Mindanao),Bukidnon,Kadingilan,8713
Region X (Northern Mindanao),Bukidnon,Kalilangan,8718
Region X (Northern Mindanao),Bukidnon,Kibawe,8720
Region X (Northern Mindanao),Bukidnon,Kitaotao,8716
Region X (Northern Mindanao),Bukidnon,Lantapan,8722
Region X (Northern Mindanao),Bukidnon,Libona,8706
Region X (Northern Mindanao),Bukidnon,City Of Malaybalay (Capital),8700
Region X (Northern Mindanao),Bukidnon,Malitbog,8704
Region X (Northern Mindanao),Bukidnon,Manolo Fortich,8703
Region X (Northern Mindanao),Bukidnon,Maramag,8714
Region X (Northern Mindanao),Bukidnon,Pangantucan,8717
Region X (Northern Mindanao),Bukidnon,Quezon,8715
Region X (Northern Mindanao),Bukidnon,San Fernando,8711
Region X (Northern Mindanao),Bukidnon,Sumilao,8701
Region X (Northern Mindanao),Bukidnon,Talakag,8708
Region X (Northern Mindanao),Bukidnon,City Of Valencia,8709
Region X (Northern Mindanao),Bukidnon,Cabanglasan,8723
Region X (Northern Mindanao),Bukidnon,Impasug-Ong,8702
Region III (Central Luzon),Bulacan,Angat,3012
Region III (Central Luzon),Bulacan,Balagtas (Bigaa),3016
Region III (Central Luzon),Bulacan,Baliuag,3006
Region III (Central Luzon),Bulacan,Bocaue,3018
Region III (Central Luzon),Bulacan,Bulacan,3017
Region III (Central Luzon),Bulacan,Bustos,3007
Region III (Central Luzon),Bulacan,Calumpit,3003
Region III (Central Luzon),Bulacan,Guiguinto,3015
Region III (Central Luzon),Bulacan,Hagonoy,3002
Region III (Central Luzon),Bulacan,City Of Malolos (Capital),3000
Region III (Central Luzon),Bulacan,Marilao,3019
Region III (Central Luzon),Bulacan,City Of Meycauayan,3020
Region III (Central Luzon),Bulacan,Norzagaray,3013
Region III (Central Luzon),Bulacan,Obando,3021
Region III (Central Luzon),Bulacan,Pandi,3014
Region III (Central Luzon),Bulacan,Paombong,3001
Region III (Central Luzon),Bulacan,Plaridel,3004
Region III (Central Luzon),Bulacan,Pulilan,3005
Region III (Central Luzon),Bulacan,San Ildefonso,3010
Region III (Central Luzon),Bulacan,City Of San Jose Del Monte,3023
Region III (Central Luzon),Bulacan,San Miguel,3011
Region III (Central Luzon),Bulacan,San Rafael,3008
Region III (Central Luzon),Bulacan,Doña Remedios Trinidad,3009
Region III (Central Luzon),Bulacan,Santa Maria,3022
Region II (Cagayan Valley),Cagayan,Abulug,3517
Region II (Cagayan Valley),Cagayan,Alcala,3507
Region II (Cagayan Valley),Cagayan,Allacapan,3523
Region II (Cagayan Valley),Cagayan,Amulung,3505
Region II (Cagayan Valley),Cagayan,Aparri,3515
Region II (Cagayan Valley),Cagayan,Baggao,3506
Region II (Cagayan Valley),Cagayan,Ballesteros,3516
Region II (Cagayan Valley),Cagayan,Buguey,3511
Region II (Cagayan Valley),Cagayan,Calayan,3520
Region II (Cagayan Valley),Cagayan,Camalaniugan,3510
Region II (Cagayan Valley),Cagayan,Claveria,3519
Region II (Cagayan Valley),Cagayan,Enrile,3501
Region II (Cagayan Valley),Cagayan,Gattaran,3508
Region II (Cagayan Valley),Cagayan,Gonzaga,3513
Region II (Cagayan Valley),Cagayan,Iguig,3504
Region II (Cagayan Valley),Cagayan,Lal-Lo,3509
Region II (Cagayan Valley),Cagayan,Lasam,3524
Region II (Cagayan Valley),Cagayan,Pamplona,3522
Region II (Cagayan Valley),Cagayan,Peñablanca,3502
Region II (Cagayan Valley),Cagayan,Piat,3527
Region II (Cagayan Valley),Cagayan,Rizal,3526
Region II (Cagayan Valley),Cagayan,Solana,3503
Region II (Cagayan Valley),Cagayan,Tuao,3528
Region II (Cagayan Valley),Cagayan,Tuguegarao City (Capital),3500
Region II (Cagayan Valley),Cagayan,Sanchez-Mira,3518
Region II (Cagayan Valley),Cagayan,Santa Ana,3514
Region II (Cagayan Valley),Cagayan,Santa Praxedes,3521
Region II (Cagayan Valley),Cagayan,Santa Teresita,3512
Region II (Cagayan Valley),Cagayan,Santo Niño (Faire),3525
Region V (Bicol Region),Camarines Norte,Basud,4608
Region V (Bicol Region),Camarines Norte,Capalonga,4607
Region V (Bicol Region),Camarines Norte,Daet (Capital),4600
Region V (Bicol Region),Camarines Norte,San Lorenzo Ruiz (Imelda),4610
Region V (Bicol Region),Camarines Norte,Jose Panganiban,4606
Region V (Bicol Region),Camarines Norte,Labo,4604
Region V (Bicol Region),Camarines Norte,Mercedes,4601
Region V (Bicol Region),Camarines Norte,Paracale,4605
Region V (Bicol Region),Camarines Norte,San VIcente,4609
Region V (Bicol Region),Camarines Norte,Talisay,4602
Region V (Bicol Region),Camarines Norte,VInzons,4603
Region V (Bicol Region),Camarines Norte,Santa Elena,4611
Region V (Bicol Region),Camarines Sur,Baao,4432
Region V (Bicol Region),Camarines Sur,Balatan,4436
Region V (Bicol Region),Camarines Sur,Bato,4435
Region V (Bicol Region),Camarines Sur,Bombon,4404
Region V (Bicol Region),Camarines Sur,Buhi,4433
Region V (Bicol Region),Camarines Sur,Bula,4430
Region V (Bicol Region),Camarines Sur,Cabusao,4406
Region V (Bicol Region),Camarines Sur,Calabanga,4405
Region V (Bicol Region),Camarines Sur,Camaligan,4401
Region V (Bicol Region),Camarines Sur,Canaman,4402
Region V (Bicol Region),Camarines Sur,Caramoan,4429
Region V (Bicol Region),Camarines Sur,Del Gallego,4411
Region V (Bicol Region),Camarines Sur,Gainza,4412
Region V (Bicol Region),Camarines Sur,Garchitorena,4428
Region V (Bicol Region),Camarines Sur,Goa,4422
Region V (Bicol Region),Camarines Sur,Iriga City,4431
Region V (Bicol Region),Camarines Sur,Lagonoy,4425
Region V (Bicol Region),Camarines Sur,Libmanan,4407
Region V (Bicol Region),Camarines Sur,Lupi,4409
Region V (Bicol Region),Camarines Sur,Magarao,4403
Region V (Bicol Region),Camarines Sur,Milaor,4413
Region V (Bicol Region),Camarines Sur,Minalabac,4414
Region V (Bicol Region),Camarines Sur,Nabua,4434
Region V (Bicol Region),Camarines Sur,Naga City,4400
Region V (Bicol Region),Camarines Sur,Ocampo,4419
Region V (Bicol Region),Camarines Sur,Pamplona,4416
Region V (Bicol Region),Camarines Sur,Pasacao,4417
Region V (Bicol Region),Camarines Sur,Pili (Capital),4418
Region V (Bicol Region),Camarines Sur,Presentacion (Parubcan),4424
Region V (Bicol Region),Camarines Sur,Ragay,4410
Region V (Bicol Region),Camarines Sur,San Fernando,4415
Region V (Bicol Region),Camarines Sur,San Jose,4423
Region V (Bicol Region),Camarines Sur,Sipocot,4408
Region V (Bicol Region),Camarines Sur,Siruma,4427
Region V (Bicol Region),Camarines Sur,Tigaon,4420
Region V (Bicol Region),Camarines Sur,Tinambac,4426
Region V (Bicol Region),Camarines Sur,Sagñay,4421
Region X (Northern Mindanao),Camiguin,Catarman,9104
Region X (Northern Mindanao),Camiguin,Guinsiliban,9102
Region X (Northern Mindanao),Camiguin,Mahinog,9101
Region X (Northern Mindanao),Camiguin,Mambajao (Capital),9100
Region X (Northern Mindanao),Camiguin,Sagay,9103
Region VI (Western VIsayas),Capiz,Cuartero,5811
Region VI (Western VIsayas),Capiz,Dao,5810
Region VI (Western VIsayas),Capiz,Dumalag,5813
Region VI (Western VIsayas),Capiz,Dumarao,5812
Region VI (Western VIsayas),Capiz,IVIsan,5805
Region VI (Western VIsayas),Capiz,Jamindan,5808
Region VI (Western VIsayas),Capiz,Ma-Ayon,5809
Region VI (Western VIsayas),Capiz,Mambusao,5807
Region VI (Western VIsayas),Capiz,Panay,5801
Region VI (Western VIsayas),Capiz,Panitan,5815
Region VI (Western VIsayas),Capiz,Pilar,5804
Region VI (Western VIsayas),Capiz,Pontevedra,5802
Region VI (Western VIsayas),Capiz,Roxas City (Capital),5800
Region VI (Western VIsayas),Capiz,Sigma,5816
Region VI (Western VIsayas),Capiz,Tapaz,5814
Region VI (Western VIsayas),Capiz,President Roxas,5803
Region VI (Western VIsayas),Capiz,Sapi-An,5806
Region V (Bicol Region),Catanduanes,Bagamanoc,4807
Region V (Bicol Region),Catanduanes,Baras,4803
Region V (Bicol Region),Catanduanes,Bato,4801
Region V (Bicol Region),Catanduanes,Caramoran,4808
Region V (Bicol Region),Catanduanes,Gigmoto,4804
Region V (Bicol Region),Catanduanes,Pandan,4809
Region V (Bicol Region),Catanduanes,Panganiban (Payo),4806
Region V (Bicol Region),Catanduanes,San Andres (Calolbon),4810
Region V (Bicol Region),Catanduanes,San Miguel,4802
Region V (Bicol Region),Catanduanes,VIga,4805
Region V (Bicol Region),Catanduanes,VIrac (Capital),4800
Region IV-A (CALABARZON),Cavite,Alfonso,4123
Region IV-A (CALABARZON),Cavite,Amadeo,4119
Region IV-A (CALABARZON),Cavite,Carmona,4116
Region IV-A (CALABARZON),Cavite,Cavite City,4100
Region IV-A (CALABARZON),Cavite,City Of Dasmariñas,4114
Region IV-A (CALABARZON),Cavite,Indang,4122
Region IV-A (CALABARZON),Cavite,Kawit,4104
Region IV-A (CALABARZON),Cavite,Magallanes,4113
Region IV-A (CALABARZON),Cavite,Maragondon,4112
Region IV-A (CALABARZON),Cavite,Mendez (Mendez-Nuñez),4121
Region IV-A (CALABARZON),Cavite,Naic,4110
Region IV-A (CALABARZON),Cavite,Noveleta,4105
Region IV-A (CALABARZON),Cavite,Rosario,4106
Region IV-A (CALABARZON),Cavite,Silang,4118
Region IV-A (CALABARZON),Cavite,Tanza,4108
Region IV-A (CALABARZON),Cavite,Ternate,4111
Region IV-A (CALABARZON),Cavite,Gen. Mariano Alvarez,4117
Region IV-A (CALABARZON),Cavite,Bacoor City,4102
Region IV-A (CALABARZON),Cavite,General Emilio Aguinaldo,4124
Region IV-A (CALABARZON),Cavite,General Trias,4107
Region IV-A (CALABARZON),Cavite,Imus City,4103
Region IV-A (CALABARZON),Cavite,Tagaytay City,4120
Region IV-A (CALABARZON),Cavite,Trece Martires City (Capital),4109
Region VIi (Central VIsayas),Cebu,Alcantara,6033
Region VIi (Central VIsayas),Cebu,Alcoy,6023
Region VIi (Central VIsayas),Cebu,Alegria,6030
Region VIi (Central VIsayas),Cebu,Aloguinsan,6040
Region VIi (Central VIsayas),Cebu,Argao,6021
Region VIi (Central VIsayas),Cebu,Asturias,6042
Region VIi (Central VIsayas),Cebu,Badian,6031
Region VIi (Central VIsayas),Cebu,Balamban,6041
Region VIi (Central VIsayas),Cebu,Bantayan,6052
Region VIi (Central VIsayas),Cebu,Barili,6036
Region VIi (Central VIsayas),Cebu,City Of Bogo,6010
Region VIi (Central VIsayas),Cebu,Boljoon,6024
Region VIi (Central VIsayas),Cebu,Borbon,6008
Region VIi (Central VIsayas),Cebu,City Of Carcar,6019
Region VIi (Central VIsayas),Cebu,Carmen,6005
Region VIi (Central VIsayas),Cebu,Catmon,6006
Region VIi (Central VIsayas),Cebu,Cebu City (Capital),6000
Region VIi (Central VIsayas),Cebu,Compostela,6003
Region VIi (Central VIsayas),Cebu,Consolacion,6001
Region VIi (Central VIsayas),Cebu,Cordova,6017
Region VIi (Central VIsayas),Cebu,Dalaguete,6022
Region VIi (Central VIsayas),Cebu,Danao City,6004
Region VIi (Central VIsayas),Cebu,Dumanjug,6035
Region VIi (Central VIsayas),Cebu,Ginatilan,6028
Region VIi (Central VIsayas),Cebu,Lapu-Lapu City (Opon),6015
Region VIi (Central VIsayas),Cebu,Liloan,6002
Region VIi (Central VIsayas),Cebu,Madridejos,6053
Region VIi (Central VIsayas),Cebu,Malabuyoc,6029
Region VIi (Central VIsayas),Cebu,Mandaue City,6014
Region VIi (Central VIsayas),Cebu,Medellin,6012
Region VIi (Central VIsayas),Cebu,Minglanilla,6046
Region VIi (Central VIsayas),Cebu,Moalboal,6032
Region VIi (Central VIsayas),Cebu,City Of Naga,6037
Region VIi (Central VIsayas),Cebu,Oslob,6025
Region VIi (Central VIsayas),Cebu,Pilar,6048
Region VIi (Central VIsayas),Cebu,Poro,6049
Region VIi (Central VIsayas),Cebu,Ronda,6034
Region VIi (Central VIsayas),Cebu,Samboan,6027
Region VIi (Central VIsayas),Cebu,San Fernando,6018
Region VIi (Central VIsayas),Cebu,San Francisco,6050
Region VIi (Central VIsayas),Cebu,Santa Fe,6047
Region VIi (Central VIsayas),Cebu,Santander,6026
Region VIi (Central VIsayas),Cebu,Sibonga,6020
Region VIi (Central VIsayas),Cebu,Sogod,6007
Region VIi (Central VIsayas),Cebu,Tabogon,6009
Region VIi (Central VIsayas),Cebu,Tabuelan,6044
Region VIi (Central VIsayas),Cebu,City Of Talisay,6045
Region VIi (Central VIsayas),Cebu,Toledo City,6038
Region VIi (Central VIsayas),Cebu,Tuburan,6043
Region VIi (Central VIsayas),Cebu,Tudela,6051
Region VIi (Central VIsayas),Cebu,Daanbantayan,6013
Region VIi (Central VIsayas),Cebu,Pinamungahan,6039
Region VIi (Central VIsayas),Cebu,San Remigio,6011
Region IX (Zamboanga Peninsula),City Of Isabela,City Of Isabela,7300
Region XI (Davao Region),Compostela Valley,Compostela,8803
Region XI (Davao Region),Compostela Valley,Laak (San VIcente),8810
Region XI (Davao Region),Compostela Valley,Mabini (Doña Alicia),8807
Region XI (Davao Region),Compostela Valley,Maco,8806
Region XI (Davao Region),Compostela Valley,Maragusan (San Mariano),8808
